Source,Target,Weight,Type
542fcc3cdef091d1197ff725224667a0d38c39f1,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
eb8db2b3f5c37d2a3ec6dc9270d71facaf3bc24d,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
994ffc6d46af92efb899d41b68955f2af1634a60,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
9ac9cfa7d57d7426cf00faf441df2419c86b5ed6,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
8d4fe25a1165113c3cd3853c8a4a72d3ed7e579f,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
f49e55a236aca24bcedd327ded15ffcff457de5d,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
84eaddda74b74aded211fa831e2eba54c97138a1,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
3fb98fe4f3a343a6f6f3965b9cf4af56e0b92bd0,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
8be220d34b807bc3642d6922ba78c463724ae724,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
7e3cd2c81ad4c67844ccfa2af1b0f986ce39e3f7,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
75e624487efebc25ab05fea6c8f9ca5793c8bc21,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
2fb35878a92081420d5302b01229b6383077837c,8fed2a5351841bc560f12075ff00405d5451a22e,2,Undirected
8a5a9e639c809da8cdafdcac5d635a93983bf469,8fed2a5351841bc560f12075ff00405d5451a22e,2,Undirected
12f3323c317e95a52783d3dc2c494438e6836bc6,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
f8629d7c0bd9d85c5bc5bf25846798fc823a42f4,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
612dc4428a67863a249a873366d74b9f488c5e2a,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
1f2f84fce58093fdffb9a72674bd9a94357ead30,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
8b09a0a35c85fad7f62b15b2206a3a2c1d08258f,8fed2a5351841bc560f12075ff00405d5451a22e,2,Undirected
3335e881a74ab406131dd3f170fa3ce2cb20e715,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
ad9d0fd7d1def5fd4611a286f55c5d3dcef9fcdb,8fed2a5351841bc560f12075ff00405d5451a22e,1,Undirected
